fixture_id,league,team_name,team_id,location,real_team_winner,pred_percent_home,pred_percent_draw,pred_percent_away,pred_home_win,pred_home_win_draw,pred_away_win,pred_away_win_draw,predicted_goals_home,predicted_goals_away,pred_draw,Shots on Goal,Shots off Goal,Total Shots,Blocked Shots,Shots insidebox,Shots outsidebox,Fouls,Corner Kicks,Offsides,Ball Possession,Yellow Cards,Goalkeeper Saves,Total passes,Passes accurate,Passes %,Red Cards,expected_goals,goals_prevented,bookmaker_used,goals_over/under_over_2.5,goals_over/under_over_2.5_prob,goals_over/under_under_2.5,goals_over/under_under_2.5_prob,odds_team_win,odds_draw,corners_over_under_over_10.5,corners_over_under_over_10.5_prob,corners_over_under_under_10.5,corners_over_under_under_10.5_prob
1340341,Primera División,Deportivo Binacional,2550,away,home,0.45,0.45,0.1,True,True,False,False,-2.5,-3.5,False,2.0,1.0,6.0,3.0,2.0,4.0,12.0,3.0,2.0,43%,4.0,2.0,302.0,253.0,84%,,0.40,,,,,,,,,,,,
1336007,Premier League,Bourj,7516,home,home,0.0,0.5,0.5,False,False,True,True,-1.5,-2.5,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1336007,Premier League,Al Nejmeh,4570,away,home,0.0,0.5,0.5,False,False,True,True,-1.5,-2.5,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1212938,La Liga,Espanyol,540,home,draw,0.1,0.45,0.45,False,False,True,True,-1.5,-2.5,False,1.0,4.0,8.0,3.0,4.0,4.0,12.0,4.0,0.0,39%,2.0,1.0,398.0,327.0,82%,,0.94,0.0,,,,,,,,,,,
1212938,La Liga,Atletico Madrid,530,away,draw,0.1,0.45,0.45,False,False,True,True,-1.5,-2.5,False,2.0,5.0,13.0,6.0,6.0,7.0,14.0,3.0,5.0,61%,1.0,0.0,626.0,545.0,87%,,0.64,0.0,,,,,,,,,,,
1208752,La Liga,Alaves,542,home,away,0.35,0.35,0.3,True,True,False,False,-1.5,-1.5,False,4.0,7.0,12.0,1.0,8.0,4.0,14.0,8.0,1.0,56%,3.0,3.0,421.0,318.0,76%,,1.58,1.0,,,,,,,,,,,
1208752,La Liga,Rayo Vallecano,728,away,away,0.35,0.35,0.3,True,True,False,False,-1.5,-1.5,False,5.0,3.0,11.0,3.0,5.0,6.0,12.0,5.0,3.0,44%,5.0,3.0,352.0,241.0,68%,,0.57,1.0,,,,,,,,,,,
1223894,Serie A,Venezia,517,home,away,0.35,0.35,0.3,True,True,False,False,-1.5,-2.5,False,3.0,2.0,6.0,1.0,6.0,0.0,14.0,2.0,,40%,4.0,3.0,317.0,233.0,74%,,0.72,0.0,,,,,,,,,,,
1223894,Serie A,Bologna,500,away,away,0.35,0.35,0.3,True,True,False,False,-1.5,-2.5,False,4.0,4.0,13.0,5.0,9.0,4.0,21.0,3.0,,60%,1.0,3.0,486.0,398.0,82%,,1.01,0.0,,,,,,,,,,,
1208751,La Liga,Real Sociedad,548,home,home,0.45,0.45,0.1,True,True,False,False,-2.5,-1.5,False,2.0,4.0,12.0,6.0,8.0,4.0,20.0,3.0,2.0,55%,2.0,4.0,471.0,410.0,87%,,0.72,-1.0,,,,,,,,,,,
